2025-05-01T12:03:51.499870,user,Does the organization have documentation that defines the roles and responsibilities of personnel assignments for processes and mechanisms to install and maintain network security controls to ensure they are understood?
2025-05-01T12:03:51.505566,system,Yes. No details
2025-05-01T12:06:03.428849,user,"If the organization utilizes segmentation to isolate the CDE from other networks, does it ensure that penetration tests performed on segmentation controls cover all segmentation controls/methods in use?"
2025-05-01T12:06:03.428849,system,Yes. No details
2025-05-01T12:06:17.710784,user,"If the organization segments; the CDE from other networks, does it confirm the effectiveness of its use of isolation to separate systems with differing security levels?"
2025-05-01T12:06:17.719206,system,Yes. No details
2025-05-01T12:06:43.086609,user,Are reviews performed to validate compliance with documented network device standards at least annually?
2025-05-01T12:06:43.087542,system,Yes. No details
2025-05-01T12:06:59.576395,user,Does the organization maintain a current inventory of devices used in the network configuration?
2025-05-01T12:06:59.578403,system,No. Danfe Corp maintains an inventory of corporate-owned devices (including laptops and mobile devices). This inventory does not currently include BYOD mobile devices.
2025-05-01T12:07:42.171129,user,"Do all network segmentation and segregation technologies enforce the principles of least privilege, need-to-know, and whitelisting rather than blacklisting?"
2025-05-01T12:07:42.171515,system,Yes. No details
2025-05-01T12:08:01.445201,user,Is logical network separation of segregated networks enforced using Virtual LANs (VLANs) or Security Groups?
2025-05-01T12:08:01.451427,system,Yes. No details
2025-05-01T12:08:17.411296,user,Does network device patching include priority patching of high-risk systems first?
2025-05-01T12:08:17.411296,system,Yes. Server patches are reviewed as they are made available. Then images and containers are rebuilt when necessary
2025-05-01T12:24:53.180640,user,"Do the organization's TPSPs conduct reviews of personnel to ensure compliance with security policies and operational procedures, including configuration reviews of network security controls?"
2025-05-01T12:24:53.187078,system,Yes. Organizational and information security policies and procedures are documented for supporting the functioning of controls and processes and made available to its personnel through the company intranet. Current employees are required to complete information security and awareness training on an annual basis.
2025-05-01T12:25:11.673674,user,"Do all network segmentation and segregation technologies enforce the principles of least privilege, need-to-know, and whitelisting rather than blacklisting?"
2025-05-01T12:25:11.673674,system,Yes. No details
2025-05-01T12:25:38.391329,user,"Are all network device patching exceptions necessary, documented, and approved by Information Security?"
2025-05-01T12:25:38.391329,system,Yes. Server patches are reviewed as they are made available. Then images and containers are rebuilt when necessary
2025-05-01T12:31:57.042769,user,what is your bcdr?
2025-05-01T12:31:57.042769,system,No answer. Available on request
